month,행정동코드,성별,연령대,총인구,1인가구수,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수
01,1121500000,1,60,18045,3072,43.519999999999996,76.50999999999999,1697.6799999999998,14344.23,72.91,160447.41999999998,153.04,631.4,-2.58,2274.52,349.33000000000004,392.4,126.74000000000001,39.04,498.26,225.64,22498189.25,6348150.05,13170.93,10240.17,257.51,1221.43,1401.68,2491.85,520.38,-4.56,-18.189999999999998,285.96,42.8,50.099999999999994
01,1123000000,0,20,32691,12738,66.25,103.94,1852.56,14956.14,67.81,178780.57,252.97,344.0,4.28,2038.8899999999999,282.97,253.16000000000003,116.31,365.73,500.36,227.69,18433717.33,4882782.140000001,14995.699999999999,8967.17,283.59000000000003,2144.79,3341.8,4031.7599999999998,1218.59,7.35,-5.720000000000001,532.43,79.21000000000001,43.42
01,1123000000,0,30,29713,6567,51.06,73.84,1886.0,15192.86,67.44,175955.47,245.76,1015.11,5.62,2051.87,333.90999999999997,451.41999999999996,163.75,327.32,647.8199999999999,261.57000000000005,16281189.09,4420999.279999999,21529.48,11338.07,345.52,2084.1800000000003,4361.95,5563.11,1381.33,4.41,-5.890000000000001,602.61,81.1,46.76
01,1123000000,0,40,28859,3805,46.45,65.2,2040.06,15072.029999999999,65.08,160116.15,201.55,1476.4,2.41,2066.01,379.95,527.3199999999999,167.51,218.43,664.1,254.64999999999998,16248059.07,4432554.0600000005,24169.760000000002,11120.25,343.15,1996.43,3939.7700000000004,5547.889999999999,1229.6999999999998,0.95,-8.7,482.48,83.87,45.09
01,1123000000,0,50,27570,3442,45.98,64.55,1964.08,15130.48,63.489999999999995,150666.44,237.38,1566.67,0.37,1815.51,388.1,544.54,157.25,119.6,647.0,263.48,16582153.969999999,4379580.039999999,23949.27,12282.86,331.22,1611.79,2730.91,3803.63,922.58,-1.4100000000000001,-13.46,358.51,80.23,40.08
01,1123000000,0,60,18705,3016,44.47,66.24000000000001,1930.7600000000002,14598.82,60.22,141048.61,209.86,1111.98,-1.1,1457.18,351.77,478.84000000000003,129.41,56.910000000000004,549.49,248.47000000000003,18308706.62,4756061.4,19432.33,11703.48,294.63,1257.26,1449.62,2110.93,630.46,-3.58,-17.22,286.07000000000005,74.65,26.72
01,1123000000,1,20,31694,13584,59.83,86.84,1820.4699999999998,14961.8,70.63,181705.59,221.62,141.74,2.4000000000000004,2048.03,316.39,206.74,121.46000000000001,242.66,543.23,236.85,17636414.759999998,4645890.279999999,15082.310000000001,9697.33,306.91999999999996,1211.62,3277.98,4599.35,1034.8,4.03,-3.93,524.46,70.22,46.76
01,1123000000,1,30,27529,5710,49.72,73.61,1780.5,14768.82,69.86,176946.07,228.3,478.42,2.88,1764.58,290.01,306.82000000000005,151.83999999999997,210.63,558.5,241.86,18004118.82,4698099.67,14414.89,10115.17,311.35,1345.79,3954.7200000000003,6493.389999999999,1193.9,1.49,-5.59,554.1700000000001,71.47,46.76
01,1123000000,1,40,27095,3513,42.95,66.56,1675.47,14116.93,69.66,173318.15,196.49,828.45,-0.28,2130.4,351.67,379.44000000000005,164.01,128.63,525.84,217.86,19173336.62,5127499.75,12798.779999999999,8730.529999999999,282.34000000000003,1426.8600000000001,3514.52,6245.27,1011.46,-1.72,-8.94,467.44,74.84,46.76
01,1123000000,1,50,28753,3603,42.05,65.34,1695.17,14252.59,67.63,163469.14,186.20999999999998,906.72,-1.87,2126.17,400.1,395.54999999999995,142.15,59.89,524.94,226.56,19140289.64,5005360.41,12558.83,9969.24,277.03,1247.05,2375.56,4170.05,681.5999999999999,-3.8200000000000003,-13.49,329.39,74.44999999999999,45.09
